assembly_accession	assembly_level	assembly_submitter	assembly_refseq_category	species_taxid	species_scientific_name	biosample_lat	biosample_lon	biosample_collection_country	is_species_name_binomial	has_biosample_coordinates	has_submitter
GCA_059548055.1	Scaffold	Clark University		3395443	Basidiobolus sp. ARSEF 9900			Italy	false	false	true
GCA_059548035.1	Scaffold	Clark University		3395444	Basidiobolus sp. ARSEF 9901			Italy	false	false	true
GCA_059548015.1	Scaffold	Clark University		3395445	Basidiobolus sp. ARSEF 9903			United Kingdom	false	false	true
GCA_059547955.1	Scaffold	Clark University		3395447	Basidiobolus sp. ARSEF 9908			United Kingdom	false	false	true
GCA_059547975.1	Scaffold	Clark University		3395448	Basidiobolus sp. ARSEF 9909			United Kingdom	false	false	true
GCA_059547995.1	Scaffold	Clark University		3395449	Basidiobolus sp. ARSEF 9912			United Kingdom	false	false	true
GCA_059547875.1	Scaffold	Clark University		3395453	Basidiobolus sp. B 8.4	42.36323394	-72.11349192	USA	false	true	true
GCA_059547935.1	Scaffold	Clark University		3395450	Basidiobolus sp. MH 6.3	42.27841452	-71.95986994	USA	false	true	true
GCA_059547895.1	Scaffold	Clark University		3395451	Basidiobolus sp. MH 8.1	42.27841452	-71.95986994	USA	false	true	true
GCA_059547915.1	Scaffold	Clark University		3395452	Basidiobolus sp. MH 9.1	42.27841452	-71.95986994	USA	false	true	true
GCA_055770315.1	Scaffold	Bird 10,000 Genomes (B10K) consortium	reference genome	873195	Basileuterus melanogenys			Costa Rica	true	false	true
GCA_977969285.1	Scaffold	B10K project		873195	Basileuterus melanogenys				true	false	true
GCA_035047985.1	Scaffold	Iridian Genomes	reference genome	182906	Basileuterus tristriatus				true	false	true
GCA_046270045.1	Scaffold	Iridian Genomes	reference genome	211979	Basiliscus vittatus				true	false	true
GCA_001599675.1	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	reference genome	89487	Basipetospora chlamydospora				true	false	true
GCA_037040375.1	Scaffold	Dalian Medical University		3092710	Basipetospora sp. M8501	38.914	121.6147	China	false	true	true
GCA_056902615.1	Scaffold	Iridian Genomes	reference genome	1386914	Bassaricyon neblina				true	false	true
GCA_008642245.2	Chromosome	International Weed Genomic Consortium	reference genome	83154	Bassia scoparia			USA	true	false	true
